path,format,ocr,keywords,all_keywords,categories,subjectivity,polarity,topics
OCR_dataset/ucsf_mss2015-01_011_061/40.pdf,handwritten,"CAUFORNIAS WAR ON AIDS 19897-1991

_

Estimated Service Uti ligation Chart for Hu. infection stages Ti+!

   
   
    
   

Resides tial
Hospice
Facility

  
 

Sore
Outpatient Care

    
 
    

Skilled .
Norsing Facility

  

0 Ys
Home ttealth Care

PATIENT CATESCUES USING MORE THAN ONE SERVICE ComPonenT.
Casemanagement Services for 100° of- patient Popalation .
Emotional Support Services for. 20/0 of petient Populahon.
ss S/o Baberwittent Mises.

1S*%o Attendant Care.
12 %/e Home Support Services.
\ /s Critical Mental Henith Care in the home.

B pot Shared and Referred Housing ‘3
S% Shanti - Eype Roosing -

OA S/t/e>
","['care', 'home', 'service', 'facility', 'patient']","['care', 'home', 'service', 'facility', 'patient', 'support', 'war', 'ligation', 'chart', 'infection', 'hospice', 'sore', 'outpatient', 'skilled', 'one', 'component', 'emotional', 'attendant', 'critical', 'mental', 'pot', 'housing']","{'PERSON': ['Hu', 'petient Populahon'], 'NORP': [], 'FAC': ['Norsing Facility'], 'ORG': ['Ti+!\n\n   \n   \n    \n   \n\n', 'Home ttealth Care', 'ComPonenT.\nCasemanagement Services', 'Emotional Support Services', 'S/o Baberwittent Mises', 'Attendant Care', 'Home Support Services'], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['19897-1991'], 'TIME': []}",0.5083333333333333,0.18333333333333332,"['Health', 'Nursing', 'Assisted Living & Long Term Care']"
OCR_dataset/ucsf_mss2015-01_011_061/9.pdf,handwritten," =f Kofia Vis Atal ee

Te Ca & Au th + Con se ald fo
ea re Sos ell, pelea eg te

S7-

df nC Biers Ee

oe Nps [pac Ses aS bese Joun
e pee fae ee

LLL
Es AY EL ee Sock cere

  
   

  

Ser ft ae
ons i Mian amet han Eig eatin.
pt ee

 

 

 
","['vis', 'con', 'ell', 'pac', 'pee']","['vis', 'con', 'ell', 'pac', 'pee', 'fae', 'sock', 'cere', 'ser', 'ons', 'mian', 'han']","{'PERSON': ['Sos ell', 'nC Biers Ee\n\noe', 'bese Joun', 'Mian amet han Eig'], 'NORP': [], 'FAC': [], 'ORG': ['pelea eg', 'Es AY EL ee'], 'GPE': ['Nps'], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': [], 'TIME': []}",0.0,0.0,[]
OCR_dataset/mss94-60_8_46_peopleofcolorcaucus1986-89/68.pdf,handwritten,"c
ey iD, \9OF POC larter9

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

- a a _ west hash 2 =
bE 1 BI 2 ec munedihes (ae ae : ae
| we 3570
LO greneniieveo Cat, 4 7 1 Ee omates}
l een ie __ _ - ar:
ee
| —a.Tte pon 2

 

= Are Tinng vo iTaana | Tern ho an Poo @ &

 

 

 

 

 

 

 

 

 

 

 

 

 

bE dre Hele aN slat Shen

 

 

 

Mawar, Lf hele / dene te ayo | 42 White _/ fa ares Ta

 

Hh reclices, / Aoos Baan es trctien apeR -

 

 

fern / fer Nimqaloe. Samal / hed nae. rdoe, -

—_— ~ - — — --—----

 
","['hele', 'west', 'hash', 'cat', 'pon']","['hele', 'west', 'hash', 'cat', 'pon', 'tern', 'slat', 'dene', 'white', 'aper', 'fern', 'nae']","{'PERSON': ['| Tern ho', 'Shen', 'Mawar', 'Lf hele / dene te ayo', 'Ta\n\n \n\nHh', 'Samal', 'd nae', 'rdoe'], 'NORP': [], 'FAC': [], 'ORG': ['ec', 'LO', 'Poo @ &\n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\n \n\nbE'], 'GPE': ['Tinng'], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': [], 'TIME': []}",0.0,0.0,"['Arts & Entertainment', 'Music & Audio']"
OCR_dataset/mss94-60_8_46_peopleofcolorcaucus1986-89/73.pdf,handwritten,"Oz LGesrzms:

SK
td pt Carve Arorr Decco munagi?
Cf bar Arercs) ?

Peer
[tet Qeeo/ Cornel fat ie Ref
Faan COSer
SRY Brw~ © Sra
Caran OOF.
CG Tae ae
Ctrrtietp Gf We Hever _

LWWhit Lees
Erica Zeneca Tp (fe. Ge

Left ak (4 S757n 0 ; rae

Mat HB Bygnrwne 2

Athat a
JH Sasser Aan ett Sx, 7
","['carve', 'bar', 'peer', 'cornel', 'fat']","['carve', 'bar', 'peer', 'cornel', 'fat', 'ref', 'tae', 'lees', 'left', 'mat']","{'PERSON': ['Carve Arorr Decco munagi', 'Faan COSer', 'Caran OOF', 'CG Tae ae\n', 'LWWhit Lees', 'Erica Zeneca Tp', 'Ge\n\nLeft', 'rae\n\nMat HB', 'Athat', 'JH Sasser Aan ett Sx'], 'NORP': [], 'FAC': [], 'ORG': [], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': [], 'TIME': []}",0.0,0.0,[]
OCR_dataset/mss94-60_22_15/28.pdf,handwritten,"Tere Supavs to

4
\ 4a6 \ 60 — “Nene, — Celine \iclas SubF — Fes Welly vil) be check i
» Maapleg- 4 ; oe

D\ Araince:
Sex Quit - ee
Deven, exit UW Wie w- FA Au) Ainich Vis week,
Reten tim system — Ferd iw) finwh Ths week or e8dy ne}
week fel vitl) hed will Genes .

) Sapenisiény of Bethe when Aine, spt IS ih meeting ;
When A\esda (2:06-2:00 — |

BRuth legue & Duconee, a moh s — Chech Se Sex “bch Arle Ghe tae
Pe her's dang wel) wih new vekheers —
Moe— heck wath hare on MWe cin we seb-up priser to

Monday ae Richard gee Kim -

—_—_-—_

 
","['week', 'sex', 'welly', 'check', 'quit']","['week', 'sex', 'welly', 'check', 'quit', 'exit', 'vis', 'system', 'meeting', 'tae', 'dang', 'new', 'heck', 'wath', 'hare', 'gee', 'kim']","{'PERSON': ['Tere Supavs', 'Nene', 'Reten tim', 'Ferd iw', 'fel vitl', 'Aine', 'Chech Se Sex', 'Arle Ghe', 'MWe cin', 'Richard gee Kim -\n\n'], 'NORP': [], 'FAC': [], 'ORG': ['Maapleg-', 'UW', 'FA Au'], 'GPE': ['A\\esda'], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['Monday'], 'TIME': ['2:06-2:00']}",0.45454545454545453,0.13636363636363635,[]
OCR_dataset/mss94-60_22_15/99.pdf,handwritten,"CE Collaberations — FY 87-88

Ct. 81 Collabeuted to provide funchtome nfo taleles
WN He Mai + Bayvidco vote

 

soy A “evan sane technical austere, tra

ML DS elu coder “Teamuiga — 7

pea as WUANErB4A SE Gre pe fo
470 WWW staff, McL .

ec — Cty, Chic und

es Ste

- Asan dds Peaect ,

/ oo - Aen MDS Torok Foree__
pa — Pilpur.w Ards ed. Prayet
= Arps thea  Progect

- Urlean Healtr $

nee AAP Prope

 

 

 

 

 
","['provide', 'vote', 'soy', 'sane', 'technical']","['provide', 'vote', 'soy', 'sane', 'technical', 'austere', 'tra', 'coder', 'pea', 'staff', 'chic', 'nee']","{'PERSON': ['CE Collaberations', 'Mai + Bayvidco', 'Chic und\n\nes Ste\n\n- Asan dds Peaect'], 'NORP': [], 'FAC': [], 'ORG': ['nfo', 'WN', 'WWW', 'ec', 'Progect'], 'GPE': ['McL', 'Cty'], 'LOC': [], 'PRODUCT': ['DS'], 'EVENT': [], 'WORK_OF_ART': ['Prayet\n='], 'LAW': [], 'DATE': ['FY 87-88'], 'TIME': []}",0.1,0.0,[]
OCR_dataset/mss94-28_008_016/35.pdf,handwritten,"Bee tte exc,

673-U72/

Mt WA Mali (Le

ian 4 ee

& GAT
(Nfe-

uhew 1D Cue

De, Cate

a aber : ?)

2(3/2(6-S5S93

yews

fae apologize ay (21)

oe

Now Yjrorl tour fhakicgial

Lt 76-SgO3 Fe ey
(Mou 3-5 a

(aye
soon

es

+ eee ard YP y a4 +

mayor wos —=s

nhs)
54) 4

J

+
5 £770 | oe
I-22. 9 ranjprP’) vag

yee

ossp > AM 1
}7 JSGLT -
21 (L)h)
sa oi 1

? WM 2

ee

e
fom prt a3 74 om) 9
","['bee', 'mali', 'gat', 'cue', 'cate']","['bee', 'mali', 'gat', 'cue', 'cate', 'fae', 'apologize', 'tour', 'mou', 'aye', 'soon', 'mayor', 'vag', 'yee']","{'PERSON': ['Bee tte exc', 'Yjrorl'], 'NORP': [], 'FAC': [], 'ORG': ['ee\n\n& GAT', 'uhew 1D Cue\n\nDe', 'Cate', 'JSGLT'], 'GPE': ['yee\n\nossp'], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': [], 'TIME': []}",0.0,0.0,[]
OCR_dataset/mss94-28_008_016/42.pdf,handwritten,"Foe Gee Later £0
suirt Ts fave tuorid
day er puck The, FU ws &
i at up a tone. Cvibk

Levey ELLE
54? BE9- ISLE

cha
qi
call

yy (‘oof

 
","['foe', 'gee', 'later', 'day', 'puck']","['foe', 'gee', 'later', 'day', 'puck', 'tone', 'elle', 'isle', 'cha', 'call']","{'PERSON': ['Foe Gee', 'BE9-'], 'NORP': [], 'FAC': [], 'ORG': ['suirt Ts fave tuorid', 'FU ws &\ni', 'Cvibk\n\nLevey ELLE'], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['54'], 'TIME': []}",0.0,0.0,[]
OCR_dataset/mss94-60_020_013/4.pdf,handwritten," 

W/agre,
Enele Seo

ae 7S 164

om til to AIDS oEeg S ,

COMM EST S a oo

Thaqgk Ye

on th you fe per edu;

: Lef we knew (fF

1 Moy uae t.: ae sous

tHeve 4
greet he[ielage
She.
","['til', 'per', 'knew', 'moy', 'greet']","['til', 'per', 'knew', 'moy', 'greet']","{'PERSON': ['Enele Seo\n\nae', 'oEeg', 'Thaqgk Ye', 'tHeve 4'], 'NORP': [], 'FAC': [], 'ORG': ['Moy uae t.'], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['164\n\nom til'], 'TIME': []}",0.0,0.0,[]
OCR_dataset/mss94-28_008_016/69.pdf,handwritten,"Audience Assad len ths, necting aan hiyhe
",['audience'],['audience'],"{'PERSON': ['Assad len ths'], 'NORP': [], 'FAC': [], 'ORG': ['hiyhe\n\x0c'], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': [], 'TIME': []}",0.0,0.0,[]
